credit_provider_name;trading_names;registration_status;effective_date
"PEAK VALUE INVESTMENTS 503 CC";"";"lapsed";""
"CASANDA GENERAL STORE ENTERPRISES BK";"";"lapsed";"2014/03/31"
"JFH TRADING CC";"";"lapsed";"2014/03/31"
"STREETWISE FINANCE SA (PTY) LTD";"";"lapsed";"2014/03/31"
"ROCAGENIX (PTY) LTD";"";"registered";"2017/11/23"
"TRANSCAP FUNDING (PTY) LTD";"";"registered";"2017/11/30"
"TOUCHFIN CAPITAL (PTY) LTD";"";"registered";"2017/11/29"
"MORENTHO CAPITAL (PTY) LTD";"";"registered";"2017/12/05"
"REALEWENA TRADING AND PROJECTS (PTY) LTD";"";"registered";"2017/12/06"
"ZAKHI CONSULTING AND PROJECTS (PTY) LTD";"";"registered";"2017/11/29"
"RIGATORQUE CC";"";"registered";"2017/12/01"
"PASANI BUSINESS SOLUTIONS (PTY) LTD";"";"registered";"2017/12/04"
"PDBOOST (PTY) LTD";"";"registered";"2017/11/30"
"LUYANDA FINACIAL SERVICES (PTY) LTD";"";"registered";"2017/11/30"
"TOTAL CREDIT (PTY) LTD";"";"voluntarily_cancelled";"2019/03/14"
"CAPX FINANCE (PTY) LTD";"";"voluntarily_cancelled";"2012/02/28"
"HYPER FINANCE CC";"";"voluntarily_cancelled";"2018/08/20"
"ABE CASH LOANS CC";"";"voluntarily_cancelled";"2009/08/18"
"EMALINI ENTREPRISES 67 CC";"CASH TRADERS";"voluntarily_cancelled";"2010/09/21"
"KOMERESEN NAIDOO";"RONVIN CARS";"voluntarily_cancelled";"2010/06/03"
"FATHIA INVESTMENTS CC";"AUTO LINK";"voluntarily_cancelled";"2010/10/07"
"LOUHEN KONSULTANTE SECUNDA 2 CC";"LOUHEN SECUNDA";"voluntarily_cancelled";"2013/06/25"
"FA CASH LOANS CC";"MAFISA CASH LOANS";"voluntarily_cancelled";"2010/08/07"
"MARIUS DANIEL KALIS";"GOVT PAYDAY LOANS";"voluntarily_cancelled";"2019/08/17"
"NEL & TROSKIE CC";"";"lapsed";"2014/03/31"
"BELREX 441 CC";"";"lapsed";"2014/10/30"
"MAKGETHE FINANCIAL SOLUTIONS (PTY) LTD";"";"lapsed";"2014/10/30"
"RED ALERT (PTY) LTD";"";"lapsed";"2014/03/31"
"LESAKA EMPLOYEE BENIFITS (PTY) LTD";"";"lapsed";"2014/03/31"
"G EN J LENERS BK";"";"lapsed";"2014/03/31"
"ANTREPONEURS (EDMS) BPK";"";"lapsed";"2018/03/03"
"IFALENU CASH LOANS CC";"";"lapsed";""
"BLONENI TRUST";"";"lapsed";"2014/03/31"
"BITLINE SA 304 CC";"";"lapsed";"2014/10/30"
"WDRA TRADING CC";"HELPING HAND SOLUTIONS";"registered";"2017/12/04"
"LOURENS JOHANNES PRETORIUS";"CREDO FINANCE";"registered";"2017/12/01"
"RASEL AND CUSTOMERS (PTY) LTD";"";"registered";"2017/12/01"
"BUSANG CASH SOLUTIONS (PTY) LTD";"";"registered";"2017/12/01"
"PULANE CAPITAL (PTY) LTD";"";"registered";"2017/11/30"
"NWATANI (PTY) LTD";"";"registered";"2017/11/30"
"KROON KAPITAL FINANCIAL SERVICES (PTY) LTD";"";"registered";"2017/11/29"
"BELIEVE ME TRADING CC";"";"registered";"2017/11/30"
"SINUNA PROJECTS AND SUPPLY (PTY) LTD";"";"registered";"2017/11/23"
"D N R CASH LOAN (PTY) LTD";"";"registered";"2017/12/05"
"FRISBEE TRADE & INVEST 1092 CC";"";"voluntarily_cancelled";"2011/02/28"
"DYNAMCO ADVANCES (PTY) LTD";"";"voluntarily_cancelled";"2010/11/12"
"GOAL REACH TRADING 2 CC";"LAGOON AUTO'S";"voluntarily_cancelled";"2007/02/28"
"LESLIE CECIL COHEN";"GENERAL FINANCE";"voluntarily_cancelled";"2018/02/16"
"MARIJU FINANCE CAPE CC";"MICROFIN";"voluntarily_cancelled";"2015/09/23"
"NANAZI CASH LOANS CC";"";"voluntarily_cancelled";"2009/04/07"
"BONGANI IGNATIUS MACHOBANE";"ALLEGRA LOANS";"voluntarily_cancelled";"2019/07/21"
"DRILONA CC";"DRILONA MICRO FINANCIERS";"voluntarily_cancelled";"2011/12/09"
"SWATO CC";"RICH CREDIT CONTROL";"voluntarily_cancelled";"2008/08/13"
"STOGAN FINANCIAL SERVICES CC";"CASH WORLD";"voluntarily_cancelled";"2010/08/06"
"PHAKISA FINANCE CC";"";"lapsed";"2014/03/31"
"CASH IS KING (PTY) LTD";"";"lapsed";""
"GARDENS CASH LOANS CC";"";"lapsed";"2014/03/31"
"MONEY GALORE CC";"";"lapsed";"2018/11/01"
"SPRING GREEN TRADING 74 CC";"";"lapsed";"2014/03/31"
"JUBI TRADING (PTY) LTD";"";"lapsed";""
"TRY AND ERROR TRADING ENTERPRISE CC";"";"lapsed";"2014/03/31"
"DU TOIT VISSER";"";"lapsed";"2014/03/31"
"HENQUE 4325 CC";"";"lapsed";"2018/03/21"
"SIZA FINANCE CC";"";"lapsed";"2018/03/19"
"SEKI CASH LOAN (PTY) LTD";"";"registered";"2017/11/30"
"KORJON PROPERTIES (PTY) LTD";"";"registered";"2017/12/06"
"KHOMOTSO FUNERALS AND FINANCIAL SERVICES (PTY) LTD";"AMICUS";"registered";"2017/12/07"
"TENFIRE (PTY) LTD";"";"registered";"2017/12/07"
"KUKHULE INVESTMENT (PTY) LTD";"";"registered";"2017/12/07"
"TRIPPLE BROTHERS ANALA 1 (PTY) LTD";"";"registered";"2017/12/07"
"BS AND MJ PROJECTS (PTY) LTD";"";"registered";"2017/12/07"
"BAA FINANCIAL SERVICES (PTY) LTD";"";"registered";"2017/12/11"
"MILLER GOLD HOUSE (PTY) LTD";"GOLD & FINANCE";"registered";"2007/09/05"
"DANEIO FINANCIAL SERVICES (PTY) LTD";"";"registered";"2017/11/29"
"MEGASUS ONDERNEMINGS BK";"MEGASUS ONDERNEMINGS";"voluntarily_cancelled";"2011/11/14"
"TURNERS INTERNATIONAL TRAVEL SERVICES (PTY) LTD";"XL TURNERS TRAVEL";"voluntarily_cancelled";"2010/10/21"
"EASTERN BLUE INVESTMENTS 203 CC";"LOUHEN FINANCIAL SERVICES";"voluntarily_cancelled";"2014/03/05"
"JANU ANN BELEGGINGS BK";"J & A CASH LOANS";"voluntarily_cancelled";"2008/04/23"
"KORAAL MOTORS CC";"NELSPRUIT MOTORS";"voluntarily_cancelled";"2010/07/30"
"BIZ AFRIKA 894 CC";"MARVEN FINANCE";"voluntarily_cancelled";"2016/07/12"
"NTSHINGANeS CASH CC";"";"voluntarily_cancelled";"2010/10/22"
"CORPCLO 2055 CC";"EASY CASH LOANS";"voluntarily_cancelled";"2013/01/28"
"LORAINE ROSS";"KINGS FURNISHERS";"voluntarily_cancelled";"2008/03/01"
"BARNARD JACOBS MELLET SECURITIES (PTY) LTD";"";"voluntarily_cancelled";"2013/12/05"
"LEADWAY TRADE AND INVESTMENTS CC";"";"lapsed";"2018/11/01"
"CMM CASH LOANS CC";"";"lapsed";"2014/03/31"
"TORNADO TRACERS AND INVESTIGATORS CC";"";"lapsed";"2014/03/31"
"BMS QUICK CASH LOANS CC";"";"lapsed";"2018/11/30"
"EURIKA CAR SALES CC";"";"lapsed";"2014/03/31"
"MCUSI CASH LOAN CC";"";"lapsed";"2014/03/31"
"SUPREMA SEWE (EDMS) BPK";"";"lapsed";""
"ISR - AFRIQUE FIN & INVEST CC";"";"lapsed";"2014/10/30"
"JAN HARM CHRISTIAAN PRETORIUS BK";"";"lapsed";""
"GOODTIME FINANCE CC";"";"lapsed";"2018/03/03"
"SUPPORTING CASH LOAN (PTY) LTD";"";"registered";"2017/12/07"
"REGENESYS INVESTMENT FUND (PTY) LTD";"MY WEALTH INVESTMENTS";"registered";"2017/12/07"
"WFEB TRADING ENTERPRISE (PTY) LTD";"";"registered";"2017/12/07"
"LOMALANDISA GENERAL TRADING (PTY) LTD";"";"registered";"2017/12/05"
"CCANDERSONSTREET (PTY) LTD";"CASH CONVERTERS ANDERSON STREET";"registered";"2017/12/06"
"PAN AFRICAN CREDIT SOLUTIONS (PTY) LTD";"";"registered";"2017/12/07"
"QOLUX TRADING 2 (PTY) LTD";"";"registered";"2017/11/29"
"SFK FINANCIAL SERVICES (PTY) LTD";"";"registered";"2017/12/06"
"MED X STAFF SOLUTIONS (PTY) LTD";"PAYBREAK PAYROLL SOLUTIONS";"registered";"2017/11/30"
"NTSAKELO SERVICES (PTY) LTD";"";"registered";"2017/10/30"
"LOUHEN KONSULTANTE (SCA-KAMPSBAAI) BK";"L C FINANCIAL SERVICES- SUNVALLEY, RETREAT";"voluntarily_cancelled";"2016/03/05"
